"id"	"screenName"	"text"	"retweetCount"
"1621804336035647488"	"Hugo_Cookster"	"RT @Goneback_: Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁

#TeamOL #OL…"	6
"1621800326738100225"	"Maillot_CR7"	"⚽Nouveau Olympique Lyonnais fourth 22/23 
Au prix dingue de 1⃣5⃣€

➡ Lien dans notre profil

#OL https://t.co/KURLSahnfC"	0
"1621800300796432386"	"JerseyLyonnais"	"RT @Goneback_: Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁

#TeamOL #OL…"	6
"1621800206525136897"	"Goneback_"	"Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁… https://t.co/6uVOQz7fDy"	6
"1621799503777996801"	"Goneback_"	"Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁… https://t.co/o8LizmeJbJ"	0
"1621794726495092736"	"LeGall75050903"	"RT @Goneback_: 🔴 @JM_Aulas (à l'égard de #Juninho) : \"Moi aussi c'est mon idole en tant que joueur... J'ai été ébloui par ce qu'il avait fa…"	6
"1621794081188843520"	"OL__Plus"	"Tensions à la tête de l'#OL ? «De la science-fiction», répond #Aulas
@JM_Aulas 
(Le Figaro :… https://t.co/beXJYSPDdT"	1
"1621793724165505025"	"OL_Plus_Fem"	"#Rodez - #OL : duel des extrêmes pour les Fenottes
#RAFOL 
(O&amp;L : https://t.co/jBzrd3rIKd) https://t.co/6vhnSG4noc"	2
"1621793396045004803"	"ShangoFoot"	"FOOT MERCATO 🔵  #OL : Jean-Michel Aulas dénonce encore des fake-news 👉 https://t.co/e5CRuYGSlo https://t.co/6PLvFQ2C9z"	0
"1621793190612180993"	"BarSsTiWiiwii"	"Ah oui de grande qualité, tellement de grand qualité qu’il ne voie pas lui même ce qu’un effectif peux manqué. Obli… https://t.co/tVzKLjfHlc"	0
"1621789654969192450"	"SoldatR_Design"	"✍️| ESTAC VS OL | Rayan Cherki

🔄 &amp; ❤️ Pour soutenir 

#OL #TeamOL #Gones #Lyon  #Ligue1 #Cherki #ESTACOL https://t.co/YzKLU99zkw"	2
"1621788124178161664"	"WazySport"	"je pense devenir un des rare sur twitter à ne pas vomir sur la direction de l'#ol  H24.
A pointer la responsabilité… https://t.co/agh7b6IAuV"	0
"1621786412923211777"	"olfans4"	"Après les incidents à Ajaccio - OL - Tête de lard, chambreur ou vrai gentil, qui est vraiment Vercoutre ? - Eurospo… https://t.co/D3IJLDKkjy"	0
"1621786409265729537"	"olfans4"	"OL - Mercato : Romain Faivre \"avait besoin de retrouver du plaisir\" - Olympique et Lyonnais https://t.co/GnDBZmav86 #OL #TeamOL #Gones"	0
"1621786406916874240"	"olfans4"	"OL : Lorient sur le point de se faire prêter Julian Pollersbeck - Foot Mercato https://t.co/TDsuHqys9c #OL #TeamOL #Gones"	0
"1621786404102496260"	"olfans4"	"Damien Da Silva quitte l'OL et file en Australie - Foot Mercato https://t.co/lmL14OKpsN #OL #TeamOL #Gones"	0
"1621785003087503360"	"timesportmedia1"	"#OL

@JM_Aulas et sa cellule sportive, c’est comme un capitaine qui ne quitte pas son navire malgré un tsunami ‼️… https://t.co/40XJqKQ2EI"	0
"1621783418387185666"	"madeinfoot"	"[#OL🔴🔵]

Jean-Michel Aulas lâche sa vérité sur John Textor !

https://t.co/DCFcZBTUln"	0
"1621782888956968962"	"TadlosOL"	"RT @OL__Plus: #LT (Eurosport) \"Tel est @remyvercoutre, terriblement casse-pied pour les adversaires mais essentiel pour les siens. A la foi…"	3
"1621782616226598913"	"TadlosOL"	"RT @OL__Plus: #Troyes - #OL  : Corentin #Tolisso est bien du voyage
@CorentinTolisso #ESTACOL 
(O&amp;L : https://t.co/Neb9OOVvQb) https://t.co…"	3
"1621780814395588608"	"ShangoFoot"	"HOMME DU MATCH 🔵  #OL : Aulas explique le transfert de Gusto par une offre non-refusable par la famille  👉… https://t.co/M9bC9dmv32"	0
"1621780667523538945"	"JordanPedreiro"	"RT @OL__Plus: Après les incidents à Ajaccio - #OL - Tête de lard, chambreur ou vrai gentil, qui est vraiment #Vercoutre ?
@remyvercoutre #A…"	3
"1621780658598060034"	"JordanPedreiro"	"RT @OL__Plus: #LT (Eurosport) \"Tel est @remyvercoutre, terriblement casse-pied pour les adversaires mais essentiel pour les siens. A la foi…"	3
"1621780609705074688"	"JordanPedreiro"	"RT @OL__Plus: L'#OL a-t-il encore le droit de rêver d'Europe ?
(Eurosport : https://t.co/OFonfjOINz) https://t.co/DjmgTRJFDM"	2
"1621780568634531841"	"JordanPedreiro"	"RT @OL__Plus: #OL - L. #Blanc : \"Il faut refaire le même match que face à Brest\"
(O&amp;L : https://t.co/22ucSfA8rg) https://t.co/wllUVwvBZY"	2
"1621769787188592640"	"Mamjobouchon"	"RT @OL__Plus: A l’#OL, \"on ne touche pas à l’icône #Juninho\"
@Juninhope08 
(O&amp;L : https://t.co/OxENEVlQsf) https://t.co/YkiZLEimfv"	8
"1621768401113726977"	"tolissotom"	"RT @AlexCorboz: Lovren : \"Je pense encore qu'on peut faire l'Europe. Ça va être dur mais on a besoin de la \"winning mentality\".\" #OL https:…"	1
"1621764129982763008"	"OL__Plus"	"#OL - L. #Blanc : \"Il faut refaire le même match que face à Brest\"
(O&amp;L : https://t.co/22ucSfA8rg) https://t.co/wllUVwvBZY"	2
"1621763656726843392"	"Mother0fGrogu"	"RT @CostaMik: @JohnTextor, vous le virez quand Bruno Cheyrou? #OL https://t.co/RpLRGGY0h5"	3
"1621757842377134080"	"OL__Plus"	"L'#OL a-t-il encore le droit de rêver d'Europe ?
(Eurosport : https://t.co/OFonfjOINz) https://t.co/DjmgTRJFDM"	2
"1621757143031455744"	"OL__Plus"	"#LT (Eurosport) \"Tel est @remyvercoutre, terriblement casse-pied pour les adversaires mais essentiel pour les siens… https://t.co/fK8XkXbTUQ"	3
"1621757138094768128"	"OL__Plus"	"Après les incidents à Ajaccio - #OL - Tête de lard, chambreur ou vrai gentil, qui est vraiment #Vercoutre ?… https://t.co/RpZGhF5nxB"	3
"1621754370625765377"	"arassuo"	"@Janis_Tou L #OL doit changer de stratégie et vendre au bon moment. Le choix international du joueur ne doit pas re… https://t.co/56NhRH2O3M"	0
"1621743652212019200"	"JulietteSof"	"RT @oetl: Gagnez 2 places pour le match #OL - #Brest (21e journée de #Ligue1, ce mercredi 1er février 2023 à 21 heures) en répondant à la q…"	86
"1621740189897867264"	"zefmmo"	"RT @oetl: Gagnez 2 places pour le match #OL - #Brest (21e journée de #Ligue1, ce mercredi 1er février 2023 à 21 heures) en répondant à la q…"	86
"1621736929766113280"	"Tiffany_Leana"	"RT @oetl: Gagnez 2 places pour le match #OL - #Brest (21e journée de #Ligue1, ce mercredi 1er février 2023 à 21 heures) en répondant à la q…"	86
"1621721381879570432"	"RueROUSSEAU"	"Vous vous souvenez de l'affaire d'abus de faiblesse Bettencourt ? La même histoire se répète aujourd'hui avec un cl… https://t.co/dF9kZ4ei9j"	0
"1621713616951975937"	"ChloeSpnc35"	"RT @DahbiaHattabi: Les recrues lyonnaises prennent la pose #OL https://t.co/uY0TlOtHWF"	3
"1621713580038004737"	"ChloeSpnc35"	"RT @DahbiaHattabi: Conférence de presse de présentation de Jeffinho, Dejan Lovren et Amin Sarr. #OL https://t.co/ENghF32TL2"	5
"1621682666125901825"	"ShangoFoot"	"SPORT 🔵  #OL : Amin Sarr, une nouvelle pépite pour la Ligue 1 👉 https://t.co/vU8dbP2GNH https://t.co/3nOnMpjaoY"	0
"1621680111668838403"	"DGonod"	"RT @oetl: 18 joueurs à la veille de Troyes. Jeffinho soigne toujours une blessure à la cheville #OL #OLESTAC https://t.co/MSUotXGB9Q"	11
"1621665989682233352"	"OPlaie"	"D’ailleurs à ce propos : #vousauriezfaitquoiamaplace ?  

#teamol #ol #AulasOut"	0
